Time;Input;Output;glbl_monitor[0]
0.0278336406;-1.34350276;0.4554657936;0.2000000477;0
0.0278544743;-1.645448208;0.4438827038;0.2000000477;0
0.0278753079;-1.835258961;0.4020497799;0.2000000477;0
0.0278961416;-1.899999857;0.3328177929;0.2000000477;0
0.0279169753;-1.835258961;0.2409045696;0.2000000477;0
0.0279378090;-1.645448208;0.1325740814;0.2000000477;0
0.0279586427;-1.34350276;0.01520895958;0.2000000477;0
0.0279794764;-0.9500000477;-0.1031925678;0.2000000477;0
0.0280003101;-0.4917562008;-0.2145619392;0.2000000477;0
0.0280211437;0;-0.3113093376;0.2000000477;0
0.0280419774;0.4917562008;-0.3868415356;0.2000000477;0
0.0280628111;0.9500000477;-0.436011076;0.2000000477;0
0.0280836448;1.343502998;-0.4554672241;0.2000000477;0
0.0281044785;1.645448208;-0.4438841343;0.2000000477;0
0.0281253122;1.835259199;-0.4020512104;0.2000000477;0
0.0281461459;1.900000095;-0.3328192234;0.2000000477;0
0.0281669796;1.835259199;-0.2409060001;0.2000000477;0
0.0281878132;1.645448208;-0.1325755119;0.2000000477;0
0.0282086469;1.343502998;-0.01521039009;0.2000000477;0
0.0282294806;0.9500000477;0.1031913757;0.2000000477;0
0.0282503143;0.4917562008;0.2145609856;0.2000000477;0
0.0282711480;0;0.3113086224;0.2000000477;0
0.0282919817;-0.4917562008;0.3868410587;0.2000000477;0
0.0283128154;-0.9500000477;0.4360108376;0.2000000477;0
0.0283336490;-1.34350276;0.4554672241;0.2000000477;0
0.0283544827;-1.645448208;0.4438843727;0.2000000477;0
0.0283753164;-1.835258961;0.4020516872;0.2000000477;0
0.0283961501;-1.899999857;0.3328199387;0.2000000477;0
0.0284169838;-1.835258961;0.2409069538;0.2000000477;0
0.0284378175;-1.645448208;0.132576704;0.2000000477;0
0.0284586512;-1.34350276;0.0152118206;0.2000000477;0
0.0284794848;-0.9500000477;-0.1031897068;0.2000000477;0
0.0285003185;-0.4917562008;-0.2145590782;0.2000000477;0
0.0285211522;0;-0.3113064766;0.2000000477;0
0.0285419859;0.4917562008;-0.3868386745;0.2000000477;0
0.0285628196;0.9500000477;-0.4360084534;0.2000000477;0
0.0285836533;1.343502998;-0.4554648399;0.2000000477;0
0.0286044870;1.645448208;-0.4438819885;0.2000000477;0
0.0286253206;1.835259199;-0.4020493031;0.2000000477;0
0.0286461543;1.900000095;-0.3328175545;0.2000000477;0
0.0286669880;1.835259199;-0.2409045696;0.2000000477;0
0.0286878217;1.645448208;-0.1325743198;0.2000000477;0
0.0287086554;1.343502998;-0.01520943642;0.2000000477;0
0.0287294891;0.9500000477;0.103192091;0.2000000477;0
0.0287503228;0.4917562008;0.2145614624;0.2000000477;0
0.0287711564;0;0.3113088608;0.2000000477;0
0.0287919901;-0.4917562008;0.3868410587;0.2000000477;0
0.0288128238;-0.9500000477;0.4360105991;0.2000000477;0
0.0288336575;-1.34350276;0.4554667473;0.2000000477;0
0.0288544912;-1.645448208;0.4438836575;0.2000000477;0
0.0288753249;-1.835258961;0.4020507336;0.2000000477;0
0.0288961586;-1.899999857;0.3328187466;0.2000000477;0
0.0289169922;-1.835258961;0.2409055233;0.2000000477;0
0.0289378259;-1.645448208;0.1325750351;0.2000000477;0
0.0289586596;-1.34350276;0.01520991325;0.2000000477;0
0.0289794933;-0.9500000477;-0.1031918526;0.2000000477;0
0.0290003270;-0.4917562008;-0.2145614624;0.2000000477;0
0.0290211607;0;-0.3113090992;0.2000000477;0
0.0290419944;0.4917562008;-0.3868415356;0.2000000477;0
0.0290628280;0.9500000477;-0.4360113144;0.2000000477;0
0.0290836617;1.343502998;-0.455467701;0.2000000477;0
0.0291044954;1.645448208;-0.4438848495;0.2000000477;0
0.0291253291;1.835259199;-0.4020521641;0.2000000477;0
0.0291461628;1.900000095;-0.3328204155;0.2000000477;0
0.0291669965;1.835259199;-0.2409074306;0.2000000477;0
0.0291878302;1.645448208;-0.1325771809;0.2000000477;0
0.0292086639;1.343502998;-0.01521205902;0.2000000477;0
0.0292294975;0.9500000477;0.1031897068;0.2000000477;0
0.0292503312;0.4917562008;0.2145593166;0.2000000477;0
0.0292711649;0;0.3113069534;0.2000000477;0
0.0292919986;-0.4917562008;0.3868393898;0.2000000477;0
0.0293128323;-0.9500000477;0.4360091686;0.2000000477;0
0.0293336660;-1.34350276;0.4554655552;0.2000000477;0
0.0293544997;-1.645448208;0.4438827038;0.2000000477;0
0.0293753333;-1.835258961;0.4020500183;0.2000000477;0
0.0293961670;-1.899999857;0.3328182697;0.2000000477;0
0.0294170007;-1.835258961;0.2409052849;0.2000000477;0
0.0294378344;-1.645448208;0.1325750351;0.2000000477;0
0.0294586681;-1.34350276;0.01521015167;0.2000000477;0
0.0294795018;-0.9500000477;-0.1031913757;0.2000000477;0
0.0295003355;-0.4917562008;-0.2145607471;0.2000000477;0
0.0295211691;0;-0.3113081455;0.2000000477;0
0.0295420028;0.4917562008;-0.3868403435;0.2000000477;0
0.0295628365;0.9500000477;-0.4360098839;0.2000000477;0
0.0295836702;1.343502998;-0.455466032;0.2000000477;0
0.0296045039;1.645448208;-0.4438829422;0.2000000477;0
0.0296253376;1.835259199;-0.4020500183;0.2000000477;0
0.0296461713;1.900000095;-0.3328180313;0.2000000477;0
0.0296670049;1.835259199;-0.240904808;0.2000000477;0
0.0296878386;1.645448208;-0.1325743198;0.2000000477;0
0.0297086723;1.343502998;-0.015209198;0.2000000477;0
0.0297295060;0.9500000477;0.1031923294;0.2000000477;0
0.0297503397;0.4917562008;0.2145617008;0.2000000477;0
0.0297711734;0;0.3113090992;0.2000000477;0
0.0297920071;-0.4917562008;0.3868412971;0.2000000477;0
0.0298128407;-0.9500000477;0.4360108376;0.2000000477;0
0.0298336744;-1.34350276;0.4554669857;0.2000000477;0
0.0298545081;-1.645448208;0.4438838959;0.2000000477;0
0.0298753418;-1.835258961;0.402050972;0.2000000477;0
0.0298961755;-1.899999857;0.332818985;0.2000000477;0
0.0299170092;-1.835258961;0.2409057617;0.2000000477;0
0.0299378429;-1.645448208;0.1325752735;0.2000000477;0
0.0299586765;-1.34350276;0.01521015167;0.2000000477;0
0.0299795102;-0.9500000477;-0.1031916142;0.2000000477;0
0.0300003439;-0.4917562008;-0.214561224;0.2000000477;0
0.0300211776;0;-0.3113088608;0.2000000477;0
0.0300420113;0.4917562008;-0.3868412971;0.2000000477;0
0.0300628450;0.9500000477;-0.436011076;0.2000000477;0
0.0300836787;1.343502998;-0.4554674625;0.2000000477;0
0.0301045123;1.645448208;-0.4438846111;0.2000000477;0
0.0301253460;1.835259199;-0.4020519257;0.2000000477;0
0.0301461797;1.900000095;-0.3328201771;0.2000000477;0
0.0301670134;1.835259199;-0.2409071922;0.2000000477;0
0.0301878471;1.645448208;-0.1325769424;0.2000000477;0
0.0302086808;1.343502998;-0.0152118206;0.2000000477;0
0.0302295145;0.9500000477;0.1031899452;0.2000000477;0
0.0302503482;0.4917562008;0.2145595551;0.2000000477;0
0.0302711818;0;0.3113071918;0.2000000477;0
0.0302920155;-0.4917562008;0.3868396282;0.2000000477;0
0.0303128492;-0.9500000477;0.436009407;0.2000000477;0
0.0303336829;-1.34350276;0.4554657936;0.2000000477;0
0.0303545166;-1.645448208;0.4438829422;0.2000000477;0
0.0303753503;-1.835258961;0.4020502567;0.2000000477;0
0.0303961840;-1.899999857;0.3328185081;0.2000000477;0
0.0304170176;-1.835258961;0.2409055233;0.2000000477;0
0.0304378513;-1.645448208;0.1325752735;0.2000000477;0
0.0304586850;-1.34350276;0.01521039009;0.2000000477;0
0.0304795187;-0.9500000477;-0.1031911373;0.2000000477;0
0.0305003524;-0.4917562008;-0.2145605087;0.2000000477;0
0.0305211861;0;-0.3113079071;0.2000000477;0
0.0305420198;0.4917562008;-0.3868401051;0.2000000477;0
0.0305628534;0.9500000477;-0.4360096455;0.2000000477;0
0.0305836871;1.343502998;-0.4554657936;0.2000000477;0
0.0306045208;1.645448208;-0.4438827038;0.2000000477;0
0.0306253545;1.835259199;-0.4020497799;0.2000000477;0
0.0306461882;1.900000095;-0.3328177929;0.2000000477;0
0.0306670219;1.835259199;-0.2409045696;0.2000000477;0
0.0306878556;1.645448208;-0.1325740814;0.2000000477;0
0.0307086892;1.343502998;-0.01520895958;0.2000000477;0
0.0307295229;0.9500000477;0.1031925678;0.2000000477;0
0.0307503566;0.4917562008;0.2145619392;0.2000000477;0
0.0307711903;0;0.3113093376;0.2000000477;0
0.0307920240;-0.4917562008;0.3868415356;0.2000000477;0
0.0308128577;-0.9500000477;0.436011076;0.2000000477;0
0.0308336914;-1.34350276;0.4554672241;0.2000000477;0
0.0308545250;-1.645448208;0.4438841343;0.2000000477;0
0.0308753587;-1.835258961;0.4020512104;0.2000000477;0
0.0308961924;-1.899999857;0.3328192234;0.2000000477;0
0.0309170261;-1.835258961;0.2409060001;0.2000000477;0
0.0309378598;-1.645448208;0.1325755119;0.2000000477;0
0.0309586935;-1.34350276;0.01521039009;0.2000000477;0
0.0309795272;-0.9500000477;-0.1031913757;0.2000000477;0
0.0310003608;-0.4917562008;-0.2145609856;0.2000000477;0
0.0310211945;0;-0.3113086224;0.2000000477;0
